data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,36.9,14.0,23.104,962.6,100.0,20.0,76.326,21.0,1.749
2010-01-10,39.3,12.2,23.293,850.486,100.0,15.0,75.988,24.2,1.772
2010-01-17,37.3,12.6,23.346,682.171,100.0,17.0,75.314,24.6,1.775
2010-01-24,37.7,9.7,23.525,544.714,99.0,13.0,73.208,21.2,1.792
2010-01-31,37.7,6.2,23.549,503.114,99.0,8.0,72.168,20.3,1.788
2010-02-07,38.7,10.0,23.673,516.371,100.0,16.0,72.218,23.8,1.721
2010-02-14,38.9,10.6,23.2,579.343,100.0,16.0,74.485,19.1,1.713
2010-02-21,38.7,11.6,23.413,472.857,100.0,18.0,73.712,22.8,1.727
2010-02-28,38.9,11.4,23.433,458.114,100.0,14.0,74.008,24.5,1.663
2010-03-07,38.6,7.7,23.103,625.886,100.0,17.0,75.945,23.8,1.614
2010-03-14,36.8,8.1,23.195,657.886,100.0,21.0,75.831,24.8,1.587
2010-03-21,39.6,9.3,23.299,454.086,100.0,20.0,75.939,24.7,1.549
2010-03-28,37.5,6.5,22.758,455.486,100.0,16.0,76.018,22.7,1.6
2010-04-04,36.7,8.1,22.764,319.2,100.0,21.0,75.504,27.5,1.44
2010-04-11,37.3,5.6,22.581,322.143,100.0,22.0,75.731,32.2,1.496
2010-04-18,37.0,3.9,22.028,229.657,100.0,20.0,75.176,19.1,1.529
2010-04-25,36.2,4.2,21.716,134.857,100.0,15.0,73.49,24.6,1.433
2010-05-02,36.1,3.8,21.233,132.114,100.0,19.0,73.254,22.0,1.445
2010-05-09,38.3,3.8,20.404,134.914,100.0,21.0,73.136,24.3,1.417
2010-05-16,34.4,2.3,19.945,91.571,100.0,17.0,73.138,14.9,1.461
2010-05-23,35.0,1.5,19.256,164.971,100.0,11.0,75.435,22.1,1.411
2010-05-30,36.0,-1.7,19.177,127.714,100.0,9.0,73.809,18.3,1.42
2010-06-06,35.2,-1.4,19.223,152.143,100.0,11.0,73.885,18.7,1.403
2010-06-13,35.5,-3.0,19.3,84.114,100.0,20.0,73.814,23.5,1.421
2010-06-20,34.5,0.9,18.663,66.6,100.0,14.0,72.734,22.3,1.463
2010-06-27,33.0,2.3,18.532,59.943,100.0,16.0,71.772,20.6,1.467
2010-07-04,33.7,-3.1,18.395,24.143,100.0,13.0,70.591,19.5,1.53
2010-07-11,36.1,-1.8,18.15,26.257,100.0,9.0,68.854,16.5,1.61
2010-07-18,33.6,-2.0,18.314,22.743,100.0,12.0,66.712,17.5,1.539
2010-07-25,34.8,0.2,18.589,31.114,100.0,7.0,66.034,19.2,1.644
2010-08-01,33.9,0.3,18.594,81.229,100.0,14.0,65.673,16.1,1.715
2010-08-08,37.0,-3.6,18.747,34.429,100.0,11.0,63.178,18.5,1.734
2010-08-15,37.8,0.8,19.088,49.486,100.0,10.0,62.595,19.3,1.768
2010-08-22,36.5,0.1,19.436,42.886,100.0,10.0,61.655,19.9,1.944
2010-08-29,37.1,0.0,19.603,44.829,100.0,11.0,61.781,24.6,2.06
2010-09-05,37.2,-2.5,20.376,22.629,100.0,10.0,58.195,18.8,1.925
2010-09-12,39.9,2.3,21.037,89.571,100.0,8.0,57.25,22.6,2.06
2010-09-19,39.0,4.1,22.155,87.314,100.0,10.0,55.466,20.2,2.056
2010-09-26,40.9,3.3,22.539,124.229,100.0,8.0,57.982,24.0,2.069
2010-10-03,39.1,4.4,22.444,214.429,100.0,13.0,61.172,22.4,2.063
2010-10-10,39.9,7.1,22.674,299.657,100.0,11.0,64.268,24.9,2.137
2010-10-17,41.4,5.3,22.776,255.771,100.0,10.0,63.02,23.8,2.138
2010-10-24,40.6,6.0,23.104,324.143,100.0,10.0,64.716,31.8,2.109
2010-10-31,40.1,7.5,23.04,389.714,100.0,11.0,67.992,23.8,1.971
2010-11-07,40.8,4.8,22.74,485.629,100.0,13.0,69.755,21.0,2.049
2010-11-14,40.2,5.4,22.264,680.743,100.0,12.0,72.831,22.3,1.937
