data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,35.9,10.3,23.809,557.8,100.0,31.0,78.466,18.4,1.709
2010-01-10,37.1,9.0,24.213,365.457,100.0,15.0,76.27,24.2,1.728
2010-01-17,36.8,12.2,24.156,430.6,100.0,22.0,76.775,19.5,1.596
2010-01-24,37.8,10.8,24.262,401.0,100.0,14.0,75.265,21.5,1.739
2010-01-31,38.5,7.1,24.246,372.371,100.0,21.0,74.895,24.6,1.672
2010-02-07,39.2,9.8,24.255,311.6,100.0,13.0,74.206,23.1,1.591
2010-02-14,39.0,11.0,24.221,249.686,100.0,13.0,73.374,22.6,1.638
2010-02-21,43.0,10.7,24.044,397.686,100.0,20.0,75.994,21.7,1.596
2010-02-28,36.1,9.4,24.124,279.029,100.0,22.0,75.761,24.3,1.582
2010-03-07,37.8,10.4,23.279,291.886,100.0,22.0,77.864,18.5,1.704
2010-03-14,36.0,10.1,23.734,205.4,100.0,24.0,75.044,22.3,1.528
2010-03-21,36.5,8.8,23.626,236.057,100.0,16.0,75.891,23.0,1.636
2010-03-28,36.8,5.4,22.893,176.4,100.0,19.0,75.494,21.2,1.726
2010-04-04,36.6,6.8,22.761,168.657,100.0,22.0,75.329,19.9,1.608
2010-04-11,36.8,6.6,22.314,163.571,100.0,17.0,75.432,17.4,1.605
2010-04-18,37.1,6.9,21.742,150.971,100.0,14.0,74.604,18.1,1.621
2010-04-25,37.4,5.9,21.652,116.829,100.0,18.0,72.21,18.5,1.471
2010-05-02,36.8,3.5,20.838,114.857,100.0,22.0,73.121,20.3,1.654
2010-05-09,35.8,3.0,20.187,80.914,100.0,16.0,71.788,19.0,1.447
2010-05-16,34.3,5.2,19.488,109.771,100.0,15.0,74.14,16.0,1.55
2010-05-23,34.2,3.3,18.65,130.971,100.0,18.0,75.188,21.9,1.601
2010-05-30,32.7,2.4,18.299,110.829,100.0,7.0,74.292,24.5,1.552
2010-06-06,33.7,2.3,18.353,151.886,100.0,20.0,75.657,25.0,1.556
2010-06-13,33.2,1.5,17.951,140.657,100.0,16.0,74.657,21.5,1.492
2010-06-20,33.5,1.0,18.012,34.486,100.0,16.0,71.797,16.8,1.544
2010-06-27,34.1,3.3,18.704,70.457,100.0,15.0,70.66,17.6,1.597
2010-07-04,33.9,-1.0,18.115,74.057,100.0,10.0,69.803,15.2,1.518
2010-07-11,34.2,-1.0,18.072,79.4,100.0,16.0,67.408,18.7,1.612
2010-07-18,35.7,-0.8,18.763,59.857,100.0,12.0,64.64,20.7,1.633
2010-07-25,35.6,1.0,18.912,38.657,100.0,7.0,64.128,21.5,1.754
2010-08-01,37.1,-2.6,18.974,42.943,100.0,11.0,63.432,19.4,1.693
2010-08-08,38.8,0.4,19.07,42.686,100.0,13.0,62.599,17.0,1.734
2010-08-15,36.5,2.2,19.451,51.771,100.0,11.0,62.217,17.9,1.826
2010-08-22,41.2,2.7,19.158,100.743,100.0,11.0,64.563,19.0,2.032
2010-08-29,39.3,2.2,19.87,43.514,100.0,10.0,61.139,21.1,2.049
2010-09-05,42.3,3.4,20.895,59.657,100.0,10.0,59.699,20.2,2.089
2010-09-12,40.6,4.7,21.237,116.114,100.0,10.0,60.772,22.3,2.172
2010-09-19,41.3,7.7,22.629,73.857,100.0,10.0,57.403,28.6,2.181
2010-09-26,38.9,3.7,22.189,127.371,100.0,10.0,62.897,23.2,2.181
2010-10-03,40.4,1.5,21.683,200.314,100.0,10.0,66.141,24.9,2.217
2010-10-10,41.6,7.4,22.104,201.514,100.0,10.0,67.88,19.2,2.275
2010-10-17,41.3,4.9,22.573,230.743,100.0,11.0,67.702,22.0,2.12
2010-10-24,40.0,6.6,22.943,139.514,100.0,10.0,67.628,24.7,2.269
2010-10-31,37.1,9.0,22.857,253.914,100.0,10.0,68.718,22.7,2.132
2010-11-07,38.5,8.2,22.343,249.314,100.0,10.0,69.142,23.7,2.234
2010-11-14,39.4,6.0,22.763,206.114,100.0,10.0,70.679,21.2,2.152
2010-11-21,38.7,4.7,22.661,249.029,100.0,10.0,69.823,23.7,2.172
2010-11-28,39.4,7.8,22.858,296.4,100.0,10.0,71.976,20.5,2.007
2010-12-05,38.4,9.7,23.402,292.286,100.0,10.0,72.906,20.1,2.062
2010-12-12,40.4,9.3,23.824,271.6,100.0,10.0,73.531,24.3,1.83
2010-12-19,36.5,10.1,23.96,280.743,100.0,10.0,72.814,20.2,1.901
2010-12-26,36.9,5.6,23.995,320.371,100.0,11.0,72.761,22.3,1.85
2011-01-02,39.0,6.6,24.022,366.543,100.0,10.0,75.458,19.2,1.742
2011-01-09,37.6,7.0,24.022,343.457,100.0,10.0,76.308,22.6,1.719
2011-01-16,37.5,6.2,23.934,464.657,100.0,10.0,77.692,22.8,1.762
2011-01-23,39.4,10.3,23.858,319.514,100.0,10.0,76.411,25.0,1.801
2011-01-30,38.0,1.7,23.988,280.543,100.0,10.0,74.798,23.2,1.72
2011-02-06,36.8,11.5,24.564,240.857,100.0,10.0,71.893,22.8,1.679
2011-02-13,37.6,8.4,24.512,191.829,100.0,10.0,71.467,21.7,1.685
2011-02-20,37.6,10.6,23.952,296.8,100.0,10.0,75.859,22.4,1.668
2011-02-27,37.3,10.6,23.946,293.886,100.0,10.0,75.717,24.4,1.614
2011-03-06,36.9,12.1,22.953,309.486,100.0,10.0,78.484,18.6,1.793
2011-03-13,35.8,10.8,23.283,269.257,100.0,10.0,75.459,23.7,1.624
2011-03-20,36.0,11.0,23.527,236.2,100.0,10.0,75.135,19.7,1.609
2011-03-27,37.2,9.2,22.899,210.343,100.0,10.0,75.73,20.6,1.782
2011-04-03,35.4,7.5,22.726,167.429,100.0,11.0,74.322,22.9,1.69
2011-04-10,37.0,4.1,22.439,160.257,100.0,10.0,74.031,23.6,1.676
2011-04-17,36.5,4.2,22.248,179.4,100.0,10.0,72.829,22.1,1.68
2011-04-24,34.4,4.6,21.755,98.629,100.0,10.0,71.447,20.1,1.615
2011-05-01,35.9,4.7,21.242,125.314,100.0,10.0,72.98,21.9,1.667
2011-05-08,39.4,4.2,20.183,74.543,100.0,11.0,71.274,21.0,1.52
2011-05-15,35.0,3.5,19.887,89.371,100.0,10.0,72.659,18.9,1.607
2011-05-22,35.7,-0.3,19.199,107.171,100.0,10.0,73.622,20.4,1.725
2011-05-29,36.3,1.8,18.457,159.114,100.0,14.0,73.97,16.9,1.601
2011-06-05,35.5,1.7,18.507,159.543,100.0,17.0,74.091,21.2,1.488
2011-06-12,35.3,2.0,18.451,192.657,100.0,10.0,74.974,23.5,1.506
2011-06-19,34.5,-2.5,18.305,37.114,100.0,10.0,71.618,19.2,1.517
2011-06-26,35.5,5.6,18.671,127.4,100.0,11.0,71.029,15.2,1.65
2011-07-03,36.6,-3.7,18.247,83.429,100.0,10.0,69.004,23.7,1.612
2011-07-10,38.0,1.3,18.085,73.657,100.0,10.0,67.037,21.5,1.588
2011-07-17,37.4,-0.6,18.433,54.229,100.0,11.0,65.279,22.5,1.706
2011-07-24,36.0,1.6,18.367,55.0,100.0,10.0,66.095,17.7,1.821
2011-07-31,36.8,0.8,18.87,62.743,100.0,11.0,64.679,17.9,1.813
2011-08-07,43.9,-1.0,18.757,81.486,100.0,10.0,65.299,18.2,1.923
2011-08-14,37.6,0.6,19.477,50.229,100.0,10.0,62.915,18.6,1.851
2011-08-21,36.4,0.0,19.779,72.429,100.0,10.0,63.35,19.3,2.145
2011-08-28,37.1,3.8,19.727,94.886,100.0,10.0,62.377,17.7,2.138
2011-09-04,40.0,0.9,20.822,74.629,100.0,10.0,60.037,24.5,1.985
2011-09-11,38.5,2.9,21.215,95.886,100.0,10.0,61.455,21.5,2.209
2011-09-18,39.0,5.8,22.384,102.514,100.0,10.0,60.163,22.8,2.109
2011-09-25,39.7,2.4,22.168,175.543,100.0,10.0,63.646,22.6,2.219
2011-10-02,42.1,2.1,21.556,158.0,100.0,10.0,66.397,23.4,2.128
2011-10-09,42.1,5.9,22.378,174.314,100.0,10.0,66.933,23.7,2.167
2011-10-16,41.8,5.1,22.752,269.857,100.0,10.0,66.507,20.9,2.117
2011-10-23,40.5,4.0,22.784,234.543,100.0,10.0,68.007,21.4,2.215
2011-10-30,37.5,7.2,22.675,274.143,100.0,10.0,70.748,23.3,2.087
2011-11-06,38.6,4.1,22.423,220.8,100.0,10.0,69.534,23.4,2.133
2011-11-13,39.1,7.4,22.527,254.914,100.0,10.0,70.438,21.9,2.099
2011-11-20,38.8,7.5,22.919,244.2,100.0,10.0,70.241,23.6,2.03
2011-11-27,37.7,8.1,22.82,335.971,100.0,10.0,70.421,22.6,2.003
2011-12-04,38.4,7.0,23.434,281.029,100.0,10.0,71.736,19.6,1.966
2011-12-11,38.7,4.6,23.455,335.886,100.0,10.0,72.926,22.5,1.853
2011-12-18,37.5,4.8,23.431,354.029,100.0,10.0,73.458,21.3,1.819
2011-12-25,38.8,7.7,23.792,286.8,100.0,11.0,72.517,24.4,1.719
2012-01-01,36.6,9.2,23.769,314.514,100.0,10.0,74.348,23.0,1.759
2012-01-08,37.9,8.9,23.848,305.029,100.0,10.0,75.519,22.5,1.672
2012-01-15,38.3,9.5,23.866,386.114,100.0,10.0,76.123,19.8,1.627
2012-01-22,39.0,11.0,23.89,457.0,100.0,10.0,75.291,22.0,1.684
2012-01-29,38.5,10.7,23.959,334.6,100.0,10.0,73.55,20.9,1.686
2012-02-05,39.8,10.1,24.112,326.971,100.0,10.0,73.031,21.9,1.701
2012-02-12,37.6,9.1,23.94,301.143,100.0,10.0,73.384,21.1,1.589
2012-02-19,38.4,11.7,23.846,285.714,100.0,10.0,75.215,21.5,1.568
2012-02-26,38.1,10.3,23.975,318.486,100.0,11.0,74.776,17.8,1.531
2012-03-04,37.2,9.5,23.446,289.343,100.0,20.0,76.646,23.8,1.729
2012-03-11,37.5,8.8,23.45,283.771,100.0,13.0,75.314,22.1,1.645
2012-03-18,40.7,9.4,23.625,302.286,100.0,12.0,75.271,21.2,1.554
2012-03-25,37.0,9.6,22.929,257.4,100.0,17.0,75.852,18.9,1.753
2012-04-01,36.3,6.5,22.777,162.743,100.0,14.0,74.875,23.7,1.571
2012-04-08,35.1,7.1,22.531,225.771,100.0,19.0,74.738,21.8,1.503
2012-04-15,36.4,5.4,22.188,140.286,100.0,21.0,72.923,17.8,1.584
2012-04-22,35.3,5.9,21.776,89.371,100.0,19.0,72.159,19.5,1.579
2012-04-29,35.7,3.5,21.325,123.886,100.0,15.0,73.003,21.2,1.557
2012-05-06,34.1,2.5,19.943,83.486,100.0,17.0,72.534,18.9,1.483
2012-05-13,34.8,3.0,19.967,83.229,100.0,12.0,72.484,16.9,1.512
2012-05-20,34.0,4.6,19.086,95.514,100.0,13.0,75.247,21.5,1.653
2012-05-27,35.9,1.4,18.693,151.429,100.0,15.0,73.913,22.0,1.488
2012-06-03,35.7,3.8,18.925,183.429,100.0,10.0,73.551,22.7,1.423
2012-06-10,36.0,-0.2,18.695,235.114,100.0,10.0,75.695,24.3,1.474
2012-06-17,37.2,-2.6,18.25,80.457,100.0,10.0,72.51,20.6,1.466
2012-06-24,38.7,1.6,18.479,115.971,100.0,10.0,72.139,18.2,1.539
2012-07-01,35.0,0.2,18.547,88.057,100.0,11.0,70.225,17.0,1.603
2012-07-08,34.9,-2.1,17.97,105.171,100.0,12.0,69.288,18.9,1.561
2012-07-15,36.2,-0.1,18.326,88.4,100.0,11.0,66.985,20.1,1.605
2012-07-22,35.7,-1.5,18.402,61.429,100.0,9.0,67.275,19.3,1.685
2012-07-29,38.6,-2.8,18.812,45.286,100.0,10.0,64.36,18.2,1.683
2012-08-05,38.6,-4.3,18.983,36.714,100.0,10.0,62.323,16.3,1.773
2012-08-12,37.7,1.4,19.354,64.886,100.0,10.0,62.659,16.3,1.835
2012-08-19,37.6,-0.8,19.44,77.314,100.0,10.0,62.678,20.3,2.027
2012-08-26,39.5,3.0,19.774,78.857,100.0,10.0,63.133,18.1,2.209
2012-09-02,39.3,2.1,20.696,54.114,100.0,10.0,60.821,18.5,1.974
2012-09-09,39.1,4.7,21.069,88.343,100.0,9.0,61.725,21.8,2.154
2012-09-16,39.6,1.5,22.543,105.057,100.0,10.0,59.077,24.1,2.009
2012-09-23,39.9,4.6,22.577,116.829,100.0,10.0,62.21,23.8,2.107
2012-09-30,41.5,4.7,21.253,153.743,100.0,10.0,65.531,23.9,2.154
2012-10-07,41.9,2.2,22.126,205.2,100.0,8.0,66.481,23.9,2.124
2012-10-14,42.0,2.3,22.307,210.2,100.0,9.0,66.816,21.9,2.126
2012-10-21,39.5,2.7,22.836,206.943,100.0,11.0,69.387,24.1,2.22
2012-10-28,38.6,4.6,22.6,194.4,100.0,10.0,69.402,23.0,2.157
2012-11-04,41.2,6.8,22.618,236.171,100.0,10.0,68.822,24.7,2.142
2012-11-11,39.4,8.9,22.312,224.914,100.0,13.0,70.242,23.4,2.067
2012-11-18,39.2,5.9,22.628,256.086,100.0,13.0,70.657,23.6,2.115
2012-11-25,36.8,7.2,22.489,262.143,100.0,11.0,70.151,22.1,2.119
2012-12-02,39.3,8.9,23.314,272.343,100.0,13.0,71.803,21.8,2.012
