data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,37.8,19.2,27.207,135.6,99.0,12.0,65.024,13.5,2.224
2010-01-10,37.6,18.2,26.902,53.514,100.0,11.0,67.604,19.5,2.238
2010-01-17,37.8,18.5,27.051,47.514,100.0,14.0,66.976,17.4,2.241
2010-01-24,37.8,18.2,26.613,78.6,100.0,12.0,71.096,14.9,2.048
2010-01-31,37.6,18.5,26.772,67.714,100.0,18.0,69.785,23.0,2.05
2010-02-07,38.0,18.0,27.132,32.6,100.0,21.0,69.666,17.6,2.146
2010-02-14,38.2,18.3,27.039,70.629,100.0,17.0,69.838,19.2,2.031
2010-02-21,37.6,16.9,26.301,121.286,100.0,17.0,74.453,17.8,1.873
2010-02-28,37.6,17.2,26.745,74.543,100.0,21.0,73.005,17.1,1.827
2010-03-07,38.3,17.8,27.149,67.971,100.0,20.0,71.102,14.9,1.813
2010-03-14,38.5,18.4,27.118,81.314,100.0,20.0,72.439,19.5,1.775
2010-03-21,39.0,18.5,27.118,47.086,100.0,21.0,72.182,15.9,1.818
2010-03-28,37.6,18.8,26.657,93.371,100.0,21.0,75.283,17.8,1.574
2010-04-04,36.3,18.4,26.164,116.429,100.0,22.0,78.577,18.5,1.505
2010-04-11,36.9,18.7,26.252,85.543,100.0,12.0,77.899,15.9,1.374
2010-04-18,37.5,17.8,26.08,134.171,100.0,22.0,77.886,24.5,1.446
2010-04-25,35.4,18.4,25.97,86.429,100.0,26.0,77.936,21.3,1.389
2010-05-02,35.9,18.6,26.118,53.571,100.0,15.0,75.825,17.5,1.606
2010-05-09,36.1,17.9,26.157,52.971,100.0,19.0,74.871,18.0,1.618
2010-05-16,36.3,18.0,26.189,49.429,100.0,17.0,73.891,13.6,1.6
2010-05-23,36.0,17.1,26.174,74.457,100.0,10.0,73.433,14.8,1.634
2010-05-30,36.5,17.0,26.063,81.257,100.0,15.0,72.882,16.5,1.578
2010-06-06,36.6,17.1,25.917,30.429,100.0,14.0,71.735,18.0,1.689
2010-06-13,37.0,17.4,26.016,49.829,100.0,13.0,69.436,14.2,1.884
2010-06-20,36.9,16.3,26.187,26.657,100.0,16.0,66.932,15.2,1.932
2010-06-27,36.7,16.1,26.141,31.086,100.0,12.0,64.832,14.0,1.924
2010-07-04,37.0,16.1,26.241,30.629,100.0,10.0,63.136,16.2,1.931
2010-07-11,37.0,16.1,26.222,26.914,100.0,10.0,62.165,14.7,2.022
2010-07-18,37.4,16.2,26.063,21.657,100.0,10.0,62.097,19.2,2.171
2010-07-25,37.3,16.3,26.198,23.314,100.0,12.0,60.278,20.6,2.32
2010-08-01,37.2,15.9,26.335,4.6,100.0,10.0,57.291,16.2,2.435
2010-08-08,37.9,15.8,26.589,10.4,100.0,10.0,56.801,16.2,2.386
2010-08-15,38.1,16.3,26.763,0.486,100.0,10.0,54.91,15.3,2.415
2010-08-22,37.7,16.5,26.944,2.6,100.0,10.0,54.559,15.7,2.618
2010-08-29,37.9,15.9,27.232,6.0,100.0,10.0,54.365,15.9,2.632
2010-09-05,38.0,16.4,27.322,2.257,100.0,10.0,54.47,15.0,2.624
2010-09-12,39.4,16.3,27.432,0.771,100.0,10.0,53.857,16.6,2.812
2010-09-19,39.5,16.3,27.77,2.257,100.0,10.0,53.252,19.2,2.894
2010-09-26,38.9,16.8,27.816,3.829,100.0,10.0,53.876,16.3,2.935
2010-10-03,38.7,11.8,27.996,0.229,99.0,10.0,54.794,16.0,2.907
2010-10-10,39.8,16.6,28.098,10.6,100.0,10.0,54.633,17.6,2.95
2010-10-17,39.0,17.4,28.261,9.2,100.0,10.0,54.078,19.5,3.132
2010-10-24,39.4,17.3,28.113,12.714,100.0,10.0,56.362,21.8,2.759
2010-10-31,38.9,17.7,28.127,14.629,100.0,10.0,55.956,17.3,2.892
2010-11-07,39.3,17.7,28.133,12.057,99.0,10.0,55.664,15.0,2.762
2010-11-14,39.4,17.4,28.205,13.143,100.0,10.0,54.979,17.6,2.936
2010-11-21,38.6,17.5,28.107,5.257,100.0,10.0,56.383,15.8,2.707
2010-11-28,39.2,18.2,28.253,11.143,100.0,10.0,57.704,19.3,2.735
2010-12-05,38.9,18.3,28.246,10.543,99.0,14.0,57.783,15.7,2.78
2010-12-12,39.0,18.4,28.175,23.686,98.0,14.0,59.363,16.9,2.664
2010-12-19,38.2,18.7,27.839,34.829,100.0,17.0,61.045,15.9,2.648
2010-12-26,38.7,18.8,27.874,40.0,100.0,16.0,62.111,23.4,2.622
2011-01-02,38.5,18.9,27.957,33.486,100.0,14.0,61.135,21.6,2.471
2011-01-09,37.9,18.1,27.544,65.971,98.0,18.0,64.816,16.9,1.979
2011-01-16,37.5,18.0,27.429,57.657,100.0,19.0,66.034,16.5,2.189
2011-01-23,37.8,18.3,27.211,68.486,100.0,19.0,68.19,15.5,1.93
2011-01-30,37.5,18.2,27.081,89.429,100.0,17.0,68.77,19.5,1.877
2011-02-06,37.8,18.7,27.243,90.314,100.0,20.0,67.956,21.2,2.054
2011-02-13,38.2,18.1,27.371,67.514,100.0,16.0,68.312,18.2,1.967
2011-02-20,37.4,18.5,26.428,143.314,100.0,22.0,74.738,19.0,1.714
2011-02-27,37.0,17.9,26.458,105.629,100.0,24.0,75.342,20.9,1.736
2011-03-06,36.8,18.0,26.44,103.743,100.0,22.0,74.976,16.8,1.714
2011-03-13,36.8,18.6,26.428,95.029,100.0,24.0,76.0,16.1,1.59
2011-03-20,38.2,18.9,26.476,149.857,100.0,23.0,76.53,21.6,1.716
2011-03-27,36.9,19.1,26.387,93.486,100.0,30.0,77.83,16.7,1.527
2011-04-03,37.3,18.7,26.1,195.257,100.0,29.0,79.704,17.3,1.511
2011-04-10,36.6,17.6,26.274,90.6,100.0,28.0,78.706,18.3,1.401
2011-04-17,36.6,17.6,26.106,93.686,100.0,27.0,78.329,16.0,1.333
2011-04-24,35.6,18.0,26.05,133.0,100.0,24.0,78.727,19.6,1.378
2011-05-01,36.3,18.5,26.117,116.029,100.0,12.0,76.392,21.8,1.5
