data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,37.4,22.4,28.311,0.4,92.0,22.0,68.157,13.5,4.236
2010-01-10,39.2,22.0,28.187,39.514,98.0,19.0,67.81,24.5,4.197
2010-01-17,37.5,21.2,28.007,27.886,99.0,22.0,68.815,20.0,4.334
2010-01-24,37.1,21.3,27.841,31.571,97.0,24.0,71.401,16.3,4.051
2010-01-31,37.2,20.9,27.935,38.8,99.0,23.0,69.788,17.5,3.958
2010-02-07,37.8,21.6,28.323,14.6,99.0,16.0,67.895,16.7,4.236
2010-02-14,38.9,22.8,28.386,18.057,96.0,18.0,68.712,16.4,4.219
2010-02-21,36.6,21.6,27.508,72.8,98.0,25.0,75.216,14.9,3.313
2010-02-28,37.9,22.4,28.026,16.829,96.0,23.0,71.359,15.3,3.658
2010-03-07,38.9,21.6,28.105,28.029,97.0,20.0,71.174,15.9,3.43
2010-03-14,37.3,22.1,28.039,38.4,98.0,23.0,72.853,14.2,3.323
2010-03-21,37.6,21.8,28.126,41.371,99.0,19.0,71.652,16.7,3.326
2010-03-28,37.6,20.9,28.106,62.429,99.0,24.0,71.525,15.2,3.005
2010-04-04,37.3,22.5,28.051,45.057,100.0,23.0,72.666,14.7,3.082
2010-04-11,37.8,22.1,28.097,36.8,100.0,22.0,73.469,14.7,2.869
2010-04-18,38.7,21.7,27.728,65.6,100.0,17.0,74.463,14.3,3.016
2010-04-25,38.5,21.9,27.707,54.829,100.0,15.0,74.706,14.8,2.861
2010-05-02,38.0,21.0,27.853,51.029,100.0,14.0,72.623,12.7,2.969
2010-05-09,37.6,20.9,27.821,46.486,100.0,20.0,70.056,14.3,3.064
2010-05-16,37.1,21.6,27.701,27.0,100.0,20.0,70.487,13.0,3.021
2010-05-23,36.9,21.3,27.567,34.457,100.0,22.0,71.597,16.1,2.95
2010-05-30,37.1,20.7,27.584,39.714,100.0,21.0,70.389,14.9,3.001
2010-06-06,36.6,19.7,27.276,39.971,100.0,22.0,70.705,15.5,2.945
2010-06-13,36.2,20.1,27.148,38.857,100.0,24.0,69.915,16.6,3.133
2010-06-20,36.8,20.1,26.936,27.4,100.0,17.0,68.72,14.3,3.121
2010-06-27,36.2,19.3,26.812,39.886,100.0,23.0,68.144,14.8,3.201
2010-07-04,35.8,18.0,26.553,36.714,100.0,17.0,68.987,17.4,3.252
2010-07-11,36.4,18.9,26.59,28.371,100.0,21.0,67.12,17.3,3.407
2010-07-18,35.8,19.3,26.451,32.514,98.0,17.0,67.015,16.0,3.654
2010-07-25,38.0,16.9,26.494,15.886,98.0,13.0,65.631,24.7,3.527
2010-08-01,37.7,18.7,26.312,19.486,97.0,19.0,65.15,17.7,3.798
2010-08-08,35.7,19.6,26.666,1.771,99.0,20.0,62.922,16.5,4.141
2010-08-15,36.8,19.7,26.674,7.971,100.0,16.0,62.964,17.2,4.197
2010-08-22,36.7,18.6,26.776,12.943,100.0,13.0,63.457,16.0,3.769
2010-08-29,37.1,17.9,27.054,8.2,100.0,19.0,61.542,16.0,3.895
2010-09-05,37.6,18.4,27.23,14.257,96.0,16.0,61.397,19.9,4.094
2010-09-12,38.4,18.6,27.169,4.886,100.0,13.0,61.695,18.5,4.028
2010-09-19,37.4,20.4,27.4,11.914,100.0,15.0,61.199,16.5,4.259
2010-09-26,38.7,20.0,27.636,4.029,100.0,14.0,60.195,16.6,4.11
2010-10-03,38.0,20.3,27.6,4.914,95.0,14.0,61.481,15.9,3.987
2010-10-10,38.6,21.3,27.703,4.029,97.0,16.0,62.261,15.0,3.952
2010-10-17,39.2,20.9,27.97,3.771,93.0,14.0,60.306,18.9,4.156
2010-10-24,38.7,20.4,28.125,6.571,98.0,16.0,61.655,18.4,4.335
2010-10-31,39.9,21.4,28.264,13.829,97.0,14.0,60.588,16.5,4.255
2010-11-07,39.0,20.6,28.138,8.771,100.0,17.0,63.189,18.8,4.004
2010-11-14,39.6,20.1,28.028,12.4,100.0,17.0,63.011,18.1,4.252
2010-11-21,40.1,21.1,28.214,30.6,98.0,15.0,61.977,22.0,3.888
2010-11-28,39.3,21.2,28.543,18.6,97.0,16.0,62.23,15.8,4.182
2010-12-05,39.2,21.0,28.537,11.171,99.0,15.0,61.269,20.5,4.115
2010-12-12,39.1,21.3,28.457,8.4,100.0,18.0,63.303,17.6,3.718
2010-12-19,39.1,21.1,28.441,9.171,100.0,17.0,62.569,15.4,3.873
2010-12-26,38.9,21.4,28.536,5.543,100.0,19.0,62.218,14.3,4.05
2011-01-02,41.0,21.8,28.534,19.057,100.0,16.0,63.538,17.0,3.897
2011-01-09,38.0,21.9,28.647,13.829,100.0,17.0,64.454,15.8,3.597
2011-01-16,38.1,22.1,28.603,11.771,100.0,19.0,63.739,15.6,3.552
2011-01-23,38.6,20.9,28.671,16.0,100.0,16.0,65.367,19.5,3.458
2011-01-30,39.1,21.8,28.81,12.8,100.0,17.0,62.612,19.4,3.76
2011-02-06,38.8,21.8,28.817,8.143,100.0,17.0,62.969,14.7,3.808
2011-02-13,39.0,20.4,28.853,11.8,100.0,17.0,63.735,16.6,3.551
2011-02-20,38.4,21.1,28.241,47.971,100.0,16.0,66.299,15.6,3.179
2011-02-27,38.0,20.9,28.508,19.286,100.0,21.0,64.45,16.4,3.43
2011-03-06,38.8,22.1,28.267,25.343,100.0,19.0,66.593,17.1,3.288
2011-03-13,38.8,21.3,28.226,46.4,100.0,19.0,66.903,15.4,3.183
2011-03-20,39.1,21.5,28.309,30.857,100.0,16.0,66.066,20.6,3.229
2011-03-27,37.3,20.7,28.071,52.114,100.0,21.0,68.008,19.1,2.93
2011-04-03,37.5,20.9,28.035,45.657,100.0,17.0,69.283,17.2,2.851
2011-04-10,37.9,21.3,28.06,35.0,100.0,22.0,68.885,16.7,2.78
2011-04-17,38.3,22.0,28.053,42.371,100.0,20.0,71.145,16.6,2.791
2011-04-24,37.9,21.2,27.956,53.143,100.0,14.0,70.521,14.8,2.824
2011-05-01,36.7,21.5,27.786,29.857,100.0,18.0,70.731,16.3,3.036
2011-05-08,36.6,20.8,27.722,16.457,100.0,20.0,72.133,15.4,2.868
2011-05-15,35.3,21.3,27.543,28.086,100.0,29.0,73.584,13.9,2.797
2011-05-22,37.9,20.5,27.386,34.829,100.0,19.0,73.264,13.6,2.875
2011-05-29,37.9,21.1,27.58,26.229,100.0,13.0,71.561,15.8,3.083
2011-06-05,37.5,20.0,27.362,12.4,100.0,17.0,71.091,14.5,3.157
2011-06-12,36.3,19.9,27.232,19.0,100.0,22.0,70.772,14.5,3.065
2011-06-19,37.0,18.6,26.936,12.457,100.0,19.0,69.353,13.7,3.206
2011-06-26,38.0,19.0,26.87,24.543,100.0,19.0,68.099,13.9,3.218
2011-07-03,37.7,17.6,26.666,33.771,100.0,21.0,68.091,15.0,3.221
2011-07-10,37.6,19.3,26.685,22.143,100.0,17.0,68.589,16.3,3.437
2011-07-17,38.1,18.6,26.758,28.857,100.0,24.0,67.668,16.2,3.546
2011-07-24,37.7,17.9,26.631,11.743,100.0,18.0,66.424,14.1,3.463
2011-07-31,36.3,19.2,26.528,16.886,100.0,19.0,66.192,16.4,3.655
2011-08-07,36.4,18.5,26.556,4.171,99.0,17.0,65.937,17.2,4.166
2011-08-14,35.9,17.8,26.878,3.143,100.0,17.0,63.959,17.0,4.213
2011-08-21,36.4,17.1,27.032,5.543,94.0,16.0,63.586,16.3,4.116
2011-08-28,37.5,18.7,26.99,20.086,97.0,20.0,64.324,15.6,4.243
2011-09-04,37.0,19.5,27.105,5.857,95.0,17.0,63.865,15.0,4.299
2011-09-11,36.6,18.7,27.081,12.429,95.0,15.0,64.201,16.1,4.31
2011-09-18,37.9,19.6,27.294,14.371,97.0,19.0,63.968,17.4,4.459
2011-09-25,38.3,20.6,27.507,7.4,94.0,16.0,63.139,17.3,4.42
2011-10-02,38.8,19.4,27.575,3.657,98.0,16.0,63.385,21.2,4.597
2011-10-09,38.7,20.0,27.684,8.829,95.0,13.0,64.016,16.5,4.409
2011-10-16,38.3,20.4,27.701,33.657,96.0,17.0,63.535,18.4,4.45
2011-10-23,38.1,20.2,27.67,5.629,95.0,14.0,64.759,16.5,4.352
2011-10-30,37.5,20.4,27.675,10.571,95.0,20.0,66.341,19.5,4.277
2011-11-06,38.5,21.0,27.852,8.886,95.0,15.0,64.687,15.9,4.119
2011-11-13,38.4,20.0,27.944,9.8,97.0,17.0,63.57,20.0,4.239
