data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,38.3,7.9,23.852,271.6,100.0,19.0,74.121,21.5,3.102
2010-01-10,40.8,5.7,23.571,286.314,100.0,14.0,73.581,28.8,2.945
2010-01-17,41.5,11.2,23.886,338.457,100.0,7.0,74.471,21.9,2.853
2010-01-24,41.2,6.8,23.673,347.971,100.0,12.0,73.571,22.6,2.868
2010-01-31,39.7,7.9,23.898,274.086,100.0,21.0,73.99,28.0,2.733
2010-02-07,41.2,8.0,24.056,284.457,100.0,15.0,74.102,27.9,2.744
2010-02-14,39.0,8.3,23.617,238.743,100.0,14.0,74.197,23.0,2.629
2010-02-21,41.0,8.3,23.228,297.743,100.0,14.0,75.909,27.9,2.688
2010-02-28,38.7,6.0,23.028,307.371,100.0,17.0,76.319,24.5,2.501
2010-03-07,40.3,7.8,22.32,303.371,100.0,17.0,74.356,29.3,2.611
2010-03-14,38.2,9.0,22.157,317.543,100.0,16.0,76.853,23.6,2.458
2010-03-21,40.6,4.2,21.44,271.6,100.0,10.0,74.902,26.7,2.581
2010-03-28,36.8,6.4,20.558,299.743,100.0,18.0,77.043,22.8,2.728
2010-04-04,35.4,2.5,20.709,244.743,100.0,10.0,76.514,21.9,2.53
2010-04-11,35.9,5.2,20.491,262.343,100.0,17.0,76.639,27.5,2.42
2010-04-18,34.8,3.4,19.73,316.657,100.0,15.0,76.898,23.5,2.539
2010-04-25,35.1,3.9,19.373,284.657,100.0,18.0,77.851,23.4,2.288
2010-05-02,38.8,2.8,17.937,336.371,100.0,12.0,77.88,24.3,2.393
2010-05-09,36.2,2.1,17.287,239.914,100.0,21.0,79.314,22.7,2.309
2010-05-16,36.5,2.0,16.44,225.943,100.0,10.0,81.09,21.5,2.296
2010-05-23,34.3,-0.4,15.425,257.943,100.0,15.0,81.394,26.3,2.343
2010-05-30,37.2,0.5,15.603,368.057,100.0,24.0,83.167,22.8,2.319
2010-06-06,36.2,-1.0,14.43,284.914,100.0,17.0,80.562,26.3,2.233
2010-06-13,34.6,-3.8,13.812,226.143,100.0,22.0,80.712,21.5,2.226
2010-06-20,36.5,-2.5,14.469,170.314,100.0,10.0,79.361,25.6,2.392
2010-06-27,35.3,-2.4,13.972,299.314,100.0,9.0,81.055,23.1,2.47
2010-07-04,35.6,-4.0,14.193,244.429,100.0,11.0,81.059,25.2,2.522
2010-07-11,33.7,-4.5,13.498,212.429,100.0,15.0,78.463,26.6,2.632
2010-07-18,30.9,-1.9,14.026,380.686,100.0,16.0,79.772,24.0,2.498
2010-07-25,33.9,-3.5,13.033,380.857,100.0,10.0,79.091,26.1,2.589
2010-08-01,33.8,-2.8,13.732,211.057,100.0,7.0,78.34,21.4,2.5
2010-08-08,34.8,-2.9,14.253,185.429,100.0,16.0,77.605,27.6,2.585
2010-08-15,32.8,-1.5,14.707,230.657,100.0,14.0,77.277,27.3,2.879
2010-08-22,35.6,-2.7,14.766,203.4,100.0,12.0,76.309,25.2,2.772
2010-08-29,35.4,-4.3,15.062,220.571,100.0,11.0,74.535,22.8,2.838
2010-09-05,35.7,-3.3,15.852,340.2,100.0,12.0,76.131,21.8,2.823
2010-09-12,36.1,0.3,16.04,325.314,100.0,12.0,78.326,22.9,2.876
2010-09-19,35.9,-0.4,16.51,311.857,100.0,12.0,76.754,23.5,2.929
2010-09-26,35.4,-0.2,16.29,320.486,100.0,16.0,77.662,30.3,2.703
2010-10-03,36.7,1.8,16.933,295.886,100.0,12.0,76.012,21.5,2.781
2010-10-10,34.8,0.3,17.044,337.514,100.0,19.0,75.611,23.5,2.856
2010-10-17,38.2,2.6,18.057,374.171,100.0,18.0,76.226,31.0,2.971
2010-10-24,35.2,1.3,18.539,348.8,100.0,16.0,75.863,37.1,2.9
